id_i,id_j,smiles_i,smiles_j,i,j,T_i,T_j,Tanimoto_dist,T_diff
2006810,2006811,O=C1CC(C(=O)O)c2ccccc21,O.O=C1CC(C(=O)O)c2ccccc21,648,649,180.0,-178.0,0.03703703703703709,358.0
7100087,7200402,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@@H](O)C(F)(F)F,O=C(OCCCCCCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,3983,4430,180.0,-110.4,0.045454545454545414,290.4
7245290,7245291,C[NH+](C)c1ccc(N(C(=O)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)cc1.O.[Cl-],C[NH+](C)c1ccc(N(C(=O)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)cc1.[Cl-],5019,5020,180.0,-98.0,0.02857142857142858,278.0
2103495,2103496,C[C@@H]([NH3+])c1ccccc1.C[C@H](O)C(=O)[O-],C[C@H](O)C(=O)[O-].C[C@H]([NH3+])c1ccccc1.O,1459,1460,180.0,-47.0,0.038461538461538436,227.0
1513057,1513059,ClCC[NH+]1CCCCC1.O=C(O)c1cc(S(=O)(=O)[O-])ccc1O,ClCC[NH+]1CCCC1.O=C(O)c1cc(S(=O)(=O)[O-])ccc1O,172,174,180.0,-19.0,0.024390243902439046,199.0
7241894,7241895,O.O=C([O-])c1cccc(C(=O)[O-])c1.[NH3+]CCCCC[NH3+],O=C([O-])c1cccc(C(=O)[O-])c1.[NH3+]CCCCC[NH3+],4970,4971,180.0,-3.0,0.038461538461538436,183.0
7100087,7203131,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@@H](O)C(F)(F)F,O=C(OCCCCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,3983,4457,180.0,66.0,0.045454545454545414,114.0
7203127,7203131,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,O=C(OCCCCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,4455,4457,180.0,66.0,0.045454545454545414,114.0
7227343,7227346,O=C(NCCCCCCNC(=O)c1nccc2ccccc12)c1nccc2ccccc12,O=C(NCCCCNC(=O)c1nccc2ccccc12)c1nccc2ccccc12,4832,4834,180.0,66.0,0.030303030303030276,114.0
1515301,7100087,O=C(OCCCCCCCCOC(=O)[C@H](O)C(F)(F)F)[C@H](O)C(F)(F)F,O=C(OCCCCOC(=O)[C@H](O)C(F)(F)F)[C@@H](O)C(F)(F)F,194,3983,180.0,67.0,0.045454545454545414,113.0
