0 CC(C(=O)OCC#C)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)Cl)F 105512-06-9 1
1 C=CBr 593-60-2 2
2 CCC(C)O 78-92-2 2
3 C1=CC=C(C(=C1)Cl)Cl 95-50-1 2
4 CC(C)O 67-63-0 1
5 CCCCC(CC)CO 104-76-7 2
6 C(CNCCNCCN)N 112-24-3 2
7 C(=O)(C(F)(F)F)O 76-05-1 2
8 C=CC(=O)N 79-06-1 1
9 CCC(=O)O 79-09-4 2
10 CC(=O)CC(=O)C 123-54-6 2
11 C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O 67-43-6 1
12 CNC 124-40-3 2
13 COC1=CC=C(C=C1)N 104-94-9 1
14 CCCCCCCCCCCCCCCC 544-76-3 2
15 CCCCCCC(=O)O 111-14-8 2
16 CCCCCCCCCC(=O)O 334-48-5 2
17 C1=CC=C(C(=C1)C(=O)O)O 69-72-7 1
18 CCCCOP(=O)(OCCCC)OCCCC 126-73-8 1
19 C1=COC(=C1)CO 98-00-0 2
20 C(=O)(N)NC(=O)N 108-19-0 1
21 C1=CC=C2C(=C1)NC=N2 51-17-2 1
22 C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O 2321-07-5 1
23 C1=CC=C2C=CC=CC2=C1 91-20-3 2
24 CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC 117-81-7 2
25 C1=CC=C(C(=C1)N)N 95-54-5 1
26 C1=CC=C(C=C1)C(=O)N(C2=CC=CC=C2)O 304-88-1 1
27 CCCCOC(=O)C 123-86-4 2
28 CCC(=O)CC 96-22-0 2
29 COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O 72956-09-3 1
30 C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N 59-30-3 1
31 C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O 491-70-3 1
32 CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC 404-86-4 1
33 C1CCNC(C1)C2=CN=CC=C2 494-52-0 2
34 CNCC(C1=CC(=C(C=C1)O)O)O 51-43-4 1
35 CC1(C2CCC1(C(=O)C2=O)C)C 2767-84-2 1
36 CCC(C)C(C(=O)O)NC(=O)C(C(C)C)N 20556-14-3 1
37 CCCC=C(CC)C=O 64344-45-2 2
38 COC1=C(C=C(C=C1)C=CC(=O)O)OC 14737-89-4 1
39 CCC(=O)C=CC 50396-87-7 2
40 CC(C)C=CC(=O)O 16666-43-6 2
41 CCCCC=CCCCCCCCC(=O)O 50286-30-1 1
42 CC(C)CC(C(=O)O)O 20312-37-2 1
43 COCC1CCCN1N 59983-39-0 2
44 CC(CC(=O)O)C(=O)O 2174-58-5 1
45 C1=C(NC=N1)CC(C(=O)NC(CC(=O)O)C(=O)O)N 41658-60-0 1
46 CCC(C(=O)O)O 3347-90-8 1
47 CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C 3313-26-6 1
48 C(C(Cl)Cl)Cl 79-00-5 2
49 CCC(Cl)Cl 78-99-9 2
50 CCCCCCCC(OC)OC 10022-28-3 2
51 C1CCN(CC1)C(=S)SSSSSSC(=S)N2CCCCC2 971-15-3 1
52 C1CNCC2=CC=CC=C21 91-21-4 2
53 C(C(C(CC(=O)O)C(=O)O)C(=O)O)C(=O)O 1703-58-8 1
54 CC1C(C2=C(C1(C)C)C(=O)CCC2)(C)C 33704-61-9 2
55 CC(=O)OCC(CO)OC(=O)C 102-62-5 2
56 CCC(CO)O 584-03-2 2
57 C1=CN=CC=C1C=CC2=CC=NC=C2 13362-78-2 1
58 CCO[Si](CC[Si](OCC)(OCC)OCC)(OCC)OCC 16068-37-4 2
59 C=CC1=CC=CC=C1C=C 91-14-5 2
60 CCC(CBr)Br 533-98-2 2
61 C1=CC=C(C=C1)C(CBr)Br 93-52-7 1
62 CO[Si](CC[Si](OC)(OC)OC)(OC)OC 18406-41-2 2
63 C[Si]1(O[Si](O[Si](O1)(C)CCC(F)(F)F)(C)CCC(F)(F)F)CCC(F)(F)F 2374-14-3 2
64 CC1CC(CC(C1)C)C 1839-63-0 2
65 C(C(=O)CC(=O)O)C(=O)O 542-05-2 1
66 C(C(CN(CC(=O)O)CC(=O)O)O)N(CC(=O)O)CC(=O)O 3148-72-9 1
67 C1C(OCC(O1)(CO)O)(CO)O 62147-49-3 1
68 C1=CC=C(C=C1)CCC(=O)C2=CC=CC=C2 1083-30-3 1
69 C1CNCCNCCCNCCNC1 295-37-4 1
70 C(COCC#CCOCCO)O 1606-85-5 2
71 CC1=CC=C(C=C1)NC2=C3C(=C(C=C2)NC4=CC=C(C=C4)C)C(=O)C5=CC=CC=C5C3=O 128-80-3 1
72 C(CCBr)CCBr 111-24-0 2
73 CC(=CCC1=C(C=C2C(=C1O)C(=O)C3=C(O2)C=CC(=C3)O)OC)C 77741-58-3 1
74 CN1C=NC2=C1C(=O)N(C(=O)N2)C 611-59-6 1
75 C1CC(=O)N(C1)CCO 3445-11-2 2
76 CCCCCCCCCOCC 16979-32-1 2
77 CN1C(=O)C2=C(N=C1N)N(C=N2)C3C(C(C(O3)CO)O)O 2140-65-0 1
78 C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O 106516-24-9 1
79 CC(CN(CCO)CCO)O 6712-98-7 2
80 CCN(CC)C(=O)N1CCN(CC1)C 90-89-1 1
81 CCCCCCCCCCCCCCCCCCC=C 3452-07-1 2
82 CCCCCCCCCCCCCCCCCCCCO 629-96-9 1
83 CCCC(C=C)O 4798-44-1 2
84 CCCCCS 110-66-7 2
85 CCCCCCCCCCCCCN 2869-34-3 2
86 CCCCCCCCCl 111-85-3 2
87 CC1=CCCCC1 591-49-1 2
88 CC1C=CC2=CC=CC=C12 767-59-9 2
89 CN1C=C(C=CC1=O)C(=O)N 701-44-0 1
90 CN1CCCCC1 626-67-5 2
91 CC(=O)CSC 14109-72-9 2
92 C1CCN(C1)C=O 3760-54-1 2
93 C(CI)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F 2043-57-4 2
94 CCCI 107-08-4 2
95 C1CN1CCO 1072-52-2 2
96 C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O 86-48-6 1
97 COC(=O)CCCCCCCCC=C 111-81-9 2
98 CCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O 83709-73-3 1
99 CCCCCCCCCCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCCC(=O)O 1997286-65-3 1
100 CCCCCC(=O)C=CC1C(CC(C1CC=CCCCC(=O)O)O)O 35850-13-6 1
101 CCCCCCCCCCCCCCCC(=O)CCCCCCCCCCCCCCC 502-73-8 1
102 C1(C(C(C(C(C1O)O)O)O)O)O 551-72-4 1
103 CCCC(=O)C1=C(C=C(C=C1)O)O 4390-92-5 1
104 C1C=CC(=O)O1 497-23-4 2
105 C1=CC=C2C(=C1)C(=O)OC(=N2)C3=CC=C(C=C3)C4=NC5=CC=CC=C5C(=O)O4 18600-59-4 1
106 CCCCCCCCCCCCCCCCCCN(CCO)CCO 10213-78-2 2
107 CC(C)(C#N)N=NC(C)(C)C#N 78-67-1 1
108 COC(=O)C(C(OC)(F)F)(F)F 755-73-7 2
109 CC(C)(C)C1=CC2=C(C=C1)OC(=N2)C3=CC=C(S3)C4=NC5=C(O4)C=CC(=C5)C(C)(C)C 7128-64-5 1
110 CCCC(C)(C)C 590-35-2 2
111 C(C(=O)O)(NC(=O)N)NC(=O)N 99-16-1 1
112 CCC(CO)(COCC=C)COCC=C 682-09-7 2
113 C1=CC(=C(C=C1Br)Br)OC2=CC(=C(C=C2Br)Br)Br 60348-60-9 2
114 C(COCCS)OCCS 14970-87-7 2
115 C1(=C(C(=C(C(=C1F)F)F)F)F)C(=O)O 602-94-8 1
116 C1=C(C(=NC(=C1Cl)Cl)Cl)Cl 2402-79-1 1
117 CC(C(C)O)O 513-85-9 2
118 CCC1=NC=C(N=C1CC)C 18138-04-0 2
119 CC1=C(N=CC=C1)C 583-61-9 2
120 C1=CC2=C(C(=O)OC2=O)N=C1 699-98-9 1
121 CCCCCC(=O)C(=O)C 585-25-1 2
122 C1=CC(=CC=C1OC2=C(C=C(C=C2)Br)Br)Br 41318-75-6 1
123 C[Si]1O[Si](O[Si](O[Si](O[Si](O1)C)C)C)C 6166-86-5 2
124 COC1=C(C=C(C=C1Cl)Cl)Cl 87-40-1 1
125 C1=C(C=C(C(=C1Br)N)Br)Br 147-82-0 1
126 C1=CC(=C(C=C1Cl)Cl)OCC(=O)O 94-75-7 1
127 C1=CC=C2C(=C1)C(=CC(=C2O)Cl)Cl 2050-76-2 1
128 C1=CC(=C(C=C1Cl)Cl)C(F)(F)F 320-60-5 2
129 CC(C)C(=O)C(C)C 565-80-0 2
130 CC(CC(C)C(=O)O)C(=O)O 2121-67-7 1
131 CC1=CC(=C(C=C1)N)C 95-68-1 2
132 CC=CC=CC=O 142-83-6 2
133 C1=CC(=C(C=C1Cl)N)Cl 95-82-9 1
134 C1=CC(=C(C=C1Cl)O)Cl 583-78-8 2
135 CC1=CC=C(O1)C 625-86-5 2
136 COC1=CC(=C(C=C1)OC)CO 33524-31-1 2
137 COC1=CC(=C(C=C1)OC)C=O 93-02-7 1
138 C(=S)(N)NNC(=S)N 142-46-1 1
139 CCCOC(=O)C1=CN=C(C=C1)C(=O)OCCC 136-45-8 2
140 CC(C)(C)C1=C(C(=CC=C1)C(C)(C)C)O 128-39-2 2
141 C1=CC(=C(C(=C1)Cl)C=O)Cl 83-38-5 1
142 C1=CC(=C(C(=C1)O)C(=O)O)O 303-07-1 1
143 C1=CC(=CC2=C1C=CC(=C2)O)O 582-17-2 1
144 CCO[Si](CCC1CCC2C(C1)O2)(OCC)OCC 10217-34-2 2
145 CC(C(=O)O)OC1=CC(=CC=C1)Cl 101-10-0 1
146 CC1=CC2=C(C=C1)N=C(S2)C3=CC=C(C=C3)N 92-36-4 1
147 CC(C(=O)O)OC1=CC=C(C=C1)OC 13794-15-5 1
148 CCN(CC)C1=CC(=C(C=C1)N=NC2=NC=C(C=C2)Br)O 14337-53-2 1
149 CCOCC1=CC=CO1 6270-56-0 2
150 C1COCCN1SC2=NC3=CC=CC=C3S2 102-77-2 1
151 CN1C2=CC=CC=C2C(=O)C=C1C3=CC4=C(C=C3)OCO4 485-61-0 1
152 CCCCCCCCSCCO 3547-33-9 2
153 CC(=O)C1=NC=C(N1)C(C(C(CO)O)O)O 94944-70-4 1
154 CN(C)CCOCCO 1704-62-7 2
155 CCCCC(CC)(CO)CO 115-84-4 1
156 CC=CCO 6117-91-5 2
157 CCCC1=CC=CO1 4229-91-8 2
158 CCC(=O)C1=CC=CN1 1073-26-3 1
159 CCC(=O)NCC(=O)O 21709-90-0 1
160 CCC(CC)CO 97-95-0 2
161 CCC(CC)C(=O)O 88-09-5 2
162 CCC(=C)C=O 922-63-4 2
163 CCCCC(CC)C(=O)OCC 2983-37-1 2
164 C=CC1=CC=CC=N1 100-69-6 2
165 C=CC1=CC2=CC=CC=C2C=C1 827-54-3 1
166 CC(=O)C1=NCCS1 29926-41-8 1
167 CCC1=NC=CN=C1C(=O)C 32974-92-8 2
168 CC(=O)C1=C(C=CC=N1)C(=O)O 89942-59-6 1
169 C1=CC=C(C(=C1)C(=O)O)I=O 304-91-6 1
170 C1=CC=NC(=C1)CCCO 2859-68-9 2
171 C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F 326-91-0 1
172 C1=CSC(=C1)CO 636-72-6 2
173 C1=CSC(=C1)C=O 98-03-3 2
174 CCCCCCCC(=O)C 821-55-6 2
175 C1=CC(=S)NC=C1 2637-34-5 1
176 CC(C)CC1=NC=CN=C1OC 24683-00-9 2
177 CCCCCC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O 13936-21-5 1
178 CCC#CC 627-21-4 2
179 CCCCC(=O)NCC(=O)O 24003-66-5 1
180 CC(C)C(=O)C(=O)O 759-05-7 2
181 CC(=O)C=NO 306-44-5 1
182 C(CC(=O)C(=O)O)CC(=O)O 3184-35-8 1
183 CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N 105650-23-5 1
184 C1=C(N=C(S1)N)CC(=O)O 29676-71-9 1
185 CC1=CC(=C(C=C1Cl)N)S(=O)(=O)O 88-51-7 1
186 COC1=C2C(=CC=C1)SC(=N2)N 5464-79-9 1
187 C1=CC(=C(C=C1Br)C(=O)O)N 5794-88-7 1
188 C1=CC=C(C(=C1)C(F)(F)F)N 88-17-5 2
189 C(CNC(=O)O)N 109-58-0 1
190 C1=CN=C(N=C1)N 109-12-6 1
191 C1=CC=C(C(=C1)C(=O)N)N 88-68-6 1
192 CC(=C)Cl 557-98-2 2
193 CCC1=C(C(=CC=C1)CC)NC(=O)CCl 6967-29-9 1
194 CC1=CC(=C(C=C1)N)Cl 615-65-6 2
195 CCSCCCl 693-07-2 2
196 C(CCl)S(=O)(=O)Cl 1622-32-8 2
197 C=CC1=CC=CC=C1Cl 2039-87-4 2
