id,can_smiles,T
2108394,O=Cc1ccc2ccc3cccc4ccc1c2c34,127.0
2108395,O=Cc1ccc2ccc3cccc4ccc1c2c34,127.0
2108397,O=Cc1ccc2ccc3cccc4ccc1c2c34,127.0
2108396,O=Cc1ccc2ccc3cccc4ccc1c2c34,127.0
2108398,O=Cc1ccc2ccc3cccc4ccc1c2c34,127.0
2108399,O=Cc1ccc2ccc3cccc4ccc1c2c34,127.0
7214425,CCCCCCCCN,-1.0
2220269,O=C(O)Cc1cccc2ccccc12,130.0
2203597,Oc1cccc2ccccc12,96.0
4517381,Oc1cccc2ccccc12,96.0
4027448,CN1C(=O)C(=O)c2ccccc21,131.0
4034620,CN1C(=O)C(=O)c2ccccc21,131.0
1542900,OCCc1cccc2ccccc12,62.0
7106072,CC(C)(C)N1CCNC1=O,137.0
7214420,CCCN,-83.0
2001558,NC(=O)NNc1ccccc1,172.0
2231223,O=C1C(=O)N(c2ccccc2)c2ccccc21,141.0
7214422,CCCCCN,-55.0
2205078,CCCCCCCCO,-16.0
2001225,O=C(O)c1cccc2ccccc12,161.0
1559849,OCc1cccc2ccccc12,61.0
2241812,OB(O)c1cccc2ccccc12,207.0
2241813,OB(O)c1cccc2ccccc12,207.0
2227659,CS(=O)(=O)n1nnc2ccccc21,110.0
7241182,CN1CC(=O)NC1=O,158.0
2213685,CN1CCNC(c2ccccc2)C1,58.0
2101650,CN1CCCC1=O,-24.0
2212966,Cn1c(-c2ccccc2)cc2ccccc21,99.0
1511983,c1cn[nH]c1,68.0
1511984,c1cn[nH]c1,68.0
1511985,c1cn[nH]c1,68.0
1511986,c1cn[nH]c1,68.0
1511987,c1cn[nH]c1,68.0
1511988,c1cn[nH]c1,68.0
1511989,c1cn[nH]c1,68.0
1511990,c1cn[nH]c1,68.0
1511991,c1cn[nH]c1,68.0
1511992,c1cn[nH]c1,68.0
1511993,c1cn[nH]c1,68.0
1511994,c1cn[nH]c1,68.0
1511995,c1cn[nH]c1,68.0
1511996,c1cn[nH]c1,68.0
1511997,c1cn[nH]c1,68.0
1511998,c1cn[nH]c1,68.0
1511999,c1cn[nH]c1,68.0
1512000,c1cn[nH]c1,68.0
1512001,c1cn[nH]c1,68.0
1512002,c1cn[nH]c1,68.0
1512003,c1cn[nH]c1,68.0
1512004,c1cn[nH]c1,68.0
1512005,c1cn[nH]c1,68.0
1512006,c1cn[nH]c1,68.0
1512007,c1cn[nH]c1,68.0
1512008,c1cn[nH]c1,68.0
1512009,c1cn[nH]c1,68.0
1512010,c1cn[nH]c1,68.0
1512011,c1cn[nH]c1,68.0
1512012,c1cn[nH]c1,68.0
1512013,c1cn[nH]c1,68.0
1512014,c1cn[nH]c1,68.0
1512015,c1cn[nH]c1,68.0
7157185,c1cn[nH]c1,68.0
7157186,c1cn[nH]c1,68.0
7231210,c1cn[nH]c1,68.0
7231215,c1cn[nH]c1,68.0
7231216,c1cn[nH]c1,68.0
7052848,c1ccc2[nH]ncc2c1,148.0
7214423,CCCCCCN,-19.0
7214424,CCCCCCCN,-23.0
2206687,c1ccc2[nH]nnc2c1,98.0
3500104,COc1cc(Cl)cc(OC)c1,34.0
2105446,CCCCO,-90.0
2105941,CCCCO,-90.0
2208544,Brc1ccc2ccc3cccc4ccc1c2c34,95.0
7132640,CCCCCCCCCCCCCCCCCCBr,28.0
2220517,BrC12CC3CC(CC(C3)C1)C2,119.0
2207219,Brc1ccc(I)cc1,91.0
8104942,Brc1ccc(I)cc1,91.0
2231558,CC(C)(C)OC(=O)N1CCC(C(=O)O)CC1,150.0
2220726,CC(C)(C)OC(=O)n1ccnc1,46.0
2014284,c1ccc(Cn2ccnc2)cc1,71.0
4513378,OCC12CC3CC(CC(C3)C1)C2,117.0
7115350,CC(=O)c1ccc2ccc3cccc4ccc1c2c34,88.0
2000986,CC(=O)N1C(=O)C(=O)c2ccccc21,142.0
2212194,CC(=O)n1ccnc1,101.0
2238798,CC(=O)N1CCN(c2ccc(O)cc2)CC1,183.0
2006582,CC(=O)NC12CC3CC(CC(C3)C1)C2,148.0
2006720,CC(=O)NC12CC3CC(CC(C3)C1)C2,148.0
1543984,CN1c2ccccc2Sc2ccccc21,102.0
2003520,Oc1cccc2ccc3cccnc3c12,104.0
1558631,CCCCCCCCCCCCC#CC#CCCCCCCCCC(=O)O,64.0
2015296,NC(=O)N1c2ccccc2CCc2ccccc21,205.0
2212320,NC(=O)N1c2ccccc2CCc2ccccc21,205.0
7211772,NC(=O)N1c2ccccc2CCc2ccccc21,205.0
2227599,O=C1OC(=O)c2cccc3cccc1c23,271.0
2015902,Oc1ccc2cccc(O)c2c1,182.0
2006727,NCCCCCCCN,28.0
2016064,Oc1ccc2c(O)cccc2c1,138.0
2100602,O[C@@H]1[C@@H](O)[C@@H]2OC[C@@H](O2)[C@H]1O,182.0
2100601,O[C@@H]1[C@@H](O)[C@@H]2OC[C@@H](O2)[C@H]1O,182.0
2203125,Nc1cccc2c(N)cccc12,191.0
2214141,O=C(O)Cc1ccc(CC(=O)O)cc1,254.0
4507480,O=C1C=CC(=O)c2ccccc21,122.0
4107261,CC(C)(C)c1ccc(C(C)(C)C)cc1,77.0
7200842,C1COCCO1,12.0
2201715,CN1CCN(C)CC1,-1.0
2220789,COc1ccc(OC)cc1,56.0
7220268,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,197.0
7220269,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,197.0
4116821,Fc1ccc(F)cc1,-13.0
2018824,CCc1ccc(CC)cc1,-43.0
2006743,Clc1ccc(Cl)cc1,54.0
4125697,Brc1ccc(Br)cc1,88.0
2226527,COc1cc(Br)c(OC)cc1Br,146.0
2236654,O=C(CBr)C(=O)CBr,118.0
2203452,c1ccc(COc2ccc(OCc3ccccc3)cc2)cc1,127.0
2000642,O=C(c1ccccc1)c1ccc(C(=O)c2ccccc2)cc1,163.0
1501653,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,263.0
2205022,CC(=O)Oc1ccc(OC(C)=O)cc1,121.0
2017696,c1ccc(-c2cnc(-c3ccc(-c4ncc(-c5ccccc5)o4)cc3)o2)cc1,242.0
2022778,OC1(C#CC#CC2(O)CCCCC2)CCCCC1,175.0
2200633,OCc1ccc(CO)cc1,119.0
2300271,OCc1ccc(CO)cc1,119.0
2009211,O=S1(=O)CCCO1,32.0
2219261,O=C(O)Cc1cccc(CC(=O)O)c1,175.0
1502744,c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,135.0
1516472,c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,135.0
1516473,c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,135.0
2217990,c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,135.0
7212697,O=C(Cc1ccccc1)Cc1ccccc1,34.0
2017476,CC(CC(=O)c1ccccc1)c1ccccc1,70.0
7051051,CN1C(=O)CC(=O)N(C)C1=O,122.0
2014340,Oc1cc(O)c2ccccc2c1,125.0
2223667,Fc1cccc(F)c1,-59.0
2102737,Clc1cccc(Cl)c1,-25.0
2105859,Brc1cccc(Br)c1,-7.0
2105858,Brc1cccc(Br)c1,-7.0
2105860,Brc1cccc(Br)c1,-7.0
2231477,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1,99.0
