id,can_smiles,T,cif_path
1000018,CC1(C)[C@@H]2CC[C@]3(C2)[C@H](O)CC[C@@H](O)[C@]13O.CC1(C)[C@H]2CC[C@@]3(C2)[C@@H](O)CC[C@H](O)[C@@]13O,180.0,cifs/1000018.cif
1000019,CN(C)c1ccc(/C=C/C(=O)c2ccccc2O)cc1,-97.0,cifs/1000019.cif
1008189,OO,-40.0,cifs/1008189.cif
1008775,NC(N)=O,134.0,cifs/1008775.cif
1008776,NC(N)=O,134.0,cifs/1008776.cif
1008785,NC(N)=O,134.0,cifs/1008785.cif
1008786,NC(N)=O,134.0,cifs/1008786.cif
1008787,NC(N)=O,134.0,cifs/1008787.cif
1010060,O=C=O,-56.5,cifs/1010060.cif
1010068,ClCl,-101.0,cifs/1010068.cif
1010091,II,113.5,cifs/1010091.cif
1010096,BrBr,-7.2,cifs/1010096.cif
1010150,O=C=O,-56.5,cifs/1010150.cif
1010328,ClCl,-101.0,cifs/1010328.cif
1010411,ClP(Cl)(Cl)(Cl)Cl,148.0,cifs/1010411.cif
1010439,O,0.0,cifs/1010439.cif
1010471,ClCl,-101.0,cifs/1010471.cif
1010489,O=C=O,-56.5,cifs/1010489.cif
1010492,O=C=O,-56.5,cifs/1010492.cif
1010496,O=C=O,-56.5,cifs/1010496.cif
1010498,O=C=O,-56.5,cifs/1010498.cif
1010776,FC(Cl)(Cl)Cl,-110.5,cifs/1010776.cif
1010777,FC(Br)(Br)Br,-74.0,cifs/1010777.cif
1011023,O,0.0,cifs/1011023.cif
1011024,O,0.0,cifs/1011024.cif
1011063,O,0.0,cifs/1011063.cif
1100123,CC(C)(C)O[C@@H]1C[C@H](COCc2ccccc2)OC(=O)CCCC[C@H]1I.CC(C)(C)O[C@H]1C[C@@H](COCc2ccccc2)OC(=O)CCCC[C@@H]1I,75.14999999999998,cifs/1100123.cif
1100188,C[C@@]12CNC(=O)[C@@](C)(C1)C[C@](C)(c1nc3cc4ccccc4cc3o1)C2.C[C@]12CNC(=O)[C@](C)(C1)C[C@@](C)(c1nc3cc4ccccc4cc3o1)C2,292.15,cifs/1100188.cif
1100220,C[C@@H]1OC(=O)N[C@H]1[C@H](Cl)c1ccccc1.C[C@H]1OC(=O)N[C@@H]1[C@@H](Cl)c1ccccc1,113.14999999999998,cifs/1100220.cif
1100221,O=C1N[C@@H]2[C@H](Cl)CCC[C@@H]2O1.O=C1N[C@H]2[C@@H](Cl)CCC[C@H]2O1,120.14999999999998,cifs/1100221.cif
1100222,O=C1N[C@@H]2[C@@H](Cl)CCC=CC[C@H]2O1.O=C1N[C@H]2[C@H](Cl)CCC=CC[C@@H]2O1,98.14999999999998,cifs/1100222.cif
1100223,O=C1N[C@H]2[C@H](CC=CCC[C@@H]2Cl)O1.O=C1N[C@H]2[C@H](Cl)CCC=CC[C@H]2O1,108.14999999999998,cifs/1100223.cif
1100225,CCCC1OC(=O)N/C1=C(\Cl)c1ccccc1,124.14999999999998,cifs/1100225.cif
1100226,CCOC1(C2CCCCC2)OC(=O)N/C1=C\C(C)(C)C,180.15,cifs/1100226.cif
1100227,C[C@@]12CNC(=O)[C@@](C)(C1)C[C@](C)(C(=O)Oc1cccc(C=O)c1)C2.C[C@]12CNC(=O)[C@](C)(C1)C[C@@](C)(C(=O)Oc1cccc(C=O)c1)C2,49.14999999999998,cifs/1100227.cif
1100228,C[C@@H]1CC(=O)N[C@@H]2[C@H]1OC2(c1ccccc1)c1ccccc1.C[C@H]1CC(=O)N[C@H]2[C@@H]1OC2(c1ccccc1)c1ccccc1,192.15,cifs/1100228.cif
1100229,ClC(Cl)Cl.ClC(Cl)Cl.O=C1CC[C@@H]2OC(c3ccccc3)(c3ccccc3)[C@@H]2N1.O=C1CC[C@H]2OC(c3ccccc3)(c3ccccc3)[C@H]2N1,170.14999999999998,cifs/1100229.cif
1100235,C[C@@H]1CC(=O)CC[C@H]1[C@@H]1CCC(=O)C[C@H]1C.C[C@H]1CC(=O)CC[C@@H]1[C@H]1CCC(=O)C[C@@H]1C,92.14999999999998,cifs/1100235.cif
1100244,CN1[C@H](Cc2ccccc2)C[C@H](O)[C@@H]1Cc1ccccc1,79.14999999999998,cifs/1100244.cif
1100654,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,222.0,cifs/1100654.cif
1100665,c1c[nH]cn1,90.0,cifs/1100665.cif
1100666,CCOC(=O)c1cc2ccccc2oc1=O,94.0,cifs/1100666.cif
1100667,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,228.7,cifs/1100667.cif
1100668,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,196.25,cifs/1100668.cif
1100684,COc1ccc(OC)c2cc3ccccc3cc12,134.0,cifs/1100684.cif
1100686,Nc1nccnn1,175.5,cifs/1100686.cif
1100907,O=C(O)[C@H](Cc1ccc(O)cc1)N1Cc2ccccc2C1=O,230.0,cifs/1100907.cif
1100989,CCNC(N)=O,92.5,cifs/1100989.cif
1100991,NC(=O)NCCCCNC(N)=O,223.0,cifs/1100991.cif
1100992,CCCCNC(N)=O,95.0,cifs/1100992.cif
1100994,NC(=O)NCCCCCNC(N)=O,234.0,cifs/1100994.cif
1100995,CCCCCNC(N)=O,102.2,cifs/1100995.cif
1100996,CCCCCCNC(N)=O,110.0,cifs/1100996.cif
1100998,CCCCCCCNC(N)=O,113.10000000000002,cifs/1100998.cif
1101000,NC(=O)NCCCCCCC1CC1,101.60000000000002,cifs/1101000.cif
1101001,CCCCCCCCNC(N)=O,101.60000000000002,cifs/1101001.cif
1101002,CCCCCCCCCNC(N)=O,107.3,cifs/1101002.cif
1101004,CCCCCCCCCCNC(N)=O,112.3,cifs/1101004.cif
1101005,CCCCCCCCCCNC(N)=O,112.3,cifs/1101005.cif
1101007,CCCCCCCCCCCNC(N)=O,112.60000000000002,cifs/1101007.cif
1101008,CCCCCCCCCCCCNC(N)=O,106.2,cifs/1101008.cif
1101009,CCCCCCCCCCCCNC(N)=O,106.2,cifs/1101009.cif
1101010,CCCCCCCCCCCCCNC(N)=O,111.60000000000002,cifs/1101010.cif
1101011,CCCCCCCCCCCCCNC(N)=O,111.60000000000002,cifs/1101011.cif
1101012,CCCCCCCCCCCCCNC(N)=O,111.60000000000002,cifs/1101012.cif
1101013,CCCCCCCCCCCCCCNC(N)=O,114.39999999999998,cifs/1101013.cif
1101014,CCCCCCCCCCCCCCNC(N)=O,114.39999999999998,cifs/1101014.cif
1101132,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,99.0,cifs/1101132.cif
1101139,Cc1cccc(N)c1,-30.0,cifs/1101139.cif
1500039,NC(=O)c1ccccc1,127.0,cifs/1500039.cif
1501634,CC(C)(C)c1ccc2oc(-c3ccc(-c4nc5cc(C(C)(C)C)ccc5o4)s3)nc2c1,201.0,cifs/1501634.cif
1501653,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,263.0,cifs/1501653.cif
1501746,CCOS(=O)(=O)[O-].CCOS(=O)(=O)[O-].NC(N)=[NH2+].NC(N)=[NH2+].NC(N)=[NH2+].NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-].[F-],177.0,cifs/1501746.cif
1501747,CCOS(=O)(=O)[O-].CCOS(=O)(=O)[O-].NC(N)=[NH2+].NC(N)=[NH2+].NC(N)=[NH2+].NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-].[F-],177.0,cifs/1501747.cif
