id,T
1000018,453
1000019,176
1000508,347.65
1000509,383.15
1000510,399.15
1100110,774.0
1100123,348.15
1100177,335.15
1100187,427.15
1100188,565.15
1100191,431.15
1100201,386.15
1100202,345.15
1100214,397.15
1100220,386.15
1100221,393.15
1100222,371.15
1100223,381.15
1100225,397.15
1100226,453.15
1100227,322.15
1100228,465.15
1100229,443.15
1100235,365.15
1100244,352.15
1100252,503
1100264,424.15
1100265,488.15
1100266,368.15
1100274,396.15
1100684,407
1100907,503
1100989,356.7
1100991,496
1100992,365.4
1100994,507
1100995,375.2
1100996,383.0
1100998,386.1
1101000,374.6
1101001,374.6
1101002,380.3
1101004,385.3
1101005,385.3
1101007,385.6
1101008,379.2
1101009,379.2
1101010,384.6
1101011,384.6
1101012,384.6
1101013,387.4
1101014,387.4
1101055,ca.600 K with decomposition
1101139,232
1501746,450
1501747,450
1501748,450
1501749,450
1501817,212&#x00A8;C214
1501822,235.5(15)
1501823,234.5(15)
1501848,175.0(10)
1501902,432
1501924,130.5(5)
1502058,195
1502252,350(1)
1502253,406.7(5)
1502389,92
1502416,72-73&#x00C2;&#x00B0;C
1502430,379.1(5)
1502476,385.5(5)
1502477,520.0(10)
1502607,234.5(5)
1502608,239.5(5)
1502609,249.0(10)
1502616,101.5(5)
1502700,512.0
1502701,466.6
1502707,287.9
1502708,287.9
1502709,288.3
1502710,288.3
1502731,531.1
1502803,493.15
1502914,460(2)
1502957,428
1503059,373.15
1503061,442
1503062,410
1503063,380
1503120,209
1503121,235
1503122,121
1503173,237.0(10)
1503174,237.0(10)
1503329,135.8(7)
1503341,523
1503391,627
1503416,542(2)
1503417,524(1)
1503424,358
1503425,372
1503442,428.5(15)
1503460,176.5(5)
1503464,263.5(5)
1503465,271.5(5)
1503603,639.6(5)
1503747,166-169\%C dec.
1503793,392.4
1503799,211
1503800,241
1503801,192
1503802,241
1503807,351.6(5)
1503844,434.5(5)
1503977,458
1503978,423
1504004,388
1504017,519
1504020,374.0(10)
1504021,391.0(10)
1504036,211(1)
1504037,271(1)
1504097,405.9
1504098,421.5
1504111,409.5(5)
1504128,216.0(10)
1504153,463
1504155,379.1(10)
1504236,424.0(10)
1504237,462.0(10)
1504238,451.5(5)
1504239,423.0(10)
1504306,140-141 Celsius degree
1504340,332
1504348,176.19
1504349,176.19
1504350,176.19
1504351,176.19
1504378,245
1504379,245
1504380,245
1504381,279
1504382,279
1504383,228
1504384,228
1504385,228
1504386,425
1504394,210
1504395,210
1504396,281
1504397,281
1504424,504.15
1504425,507.15
1504436,54
1504437,53
1504483,110
1504570,447
1504575,355.5(5)
1504580,568.0(10)
1504593,395
1504594,426(2)
1504595,374(2)
1504629,142(2)
1504630,145(2)
1504631,130(2)
1504636,549.6(15)
1504637,desolvates at 125C
1504681,562.5(5)
1504707,159.5(5)
1504781,406.6(15)
1504929,423
1505027,401
1505033,376.6(5)
1505034,472.6(5)
1505035,241
1505164,562
1505165,Decompose_before_melting
1505184,caffeine 6-hydroxy-2-naphthoic acid
1505225,494
1505235,192(2)
1505236,204(2)
1505237,122(2)
1505238,218(2)
1505349,144
1505356,237.3(6)
1505357,198(2)
1505358,270(2)
1505359,222(2)
1505360,198(2)
1505374,449.6(15)
1505375,422(3)
1505457,191
1505648,339
1505661,143.9(4)
1505662,370.7(5)
1505663,326.7(15)
1505865,135.0(10)
1505890,533
1505894,388.65
1505994,289
1506003,300
1506017,363
1506018,369
1506099,471
1506152,454
1506220,225
1506221,192
1506222,251
1506223,260
1506235,398.8(8)
1506236,406.5(5)
1506258,450
1506289,567(2)
1506290,447.1(10)
1506302,436.6(5)
1506315,459
1506380,544.0(10)
1506381,544.0(10)
1506382,544.0(10)
1506383,544.0(10)
1506384,544.0(10)
1506385,544.0(10)
1506386,544.0(10)
1506443,472.0(10)
1506444,533.5(5)
1506467,119.0(10)
1506468,172.5(5)
1506504,441
1506514,146
1506529,64.5(5)
1506530,73.5(5)
1506531,99.5(5)
1506539,164.0(10)
1506543,129.5(5)
1506544,91.5(5)
1506545,77.5(15)
1506547,412.15
1506578,348.1(10)
1506649,241
1506651,167.4(5)
1506653,468
1506655,494
1506656,531
1506675,218.8(3)
1506682,601
1506695,384.1(10)
1506732,409
1506751,468(2)
1506789,108&#x00B0;C
1506809,502.5(5)
1506829,161.7
1506830,161.7
1506833,480
1506834,480
1506835,480
1506836,480
1506837,468
1506838,457
1506915,209
1506916,165
1506923,399.0(10)
1506925,396.0(10)
1506926,426(3)
1506999,485.6(5)
1507024,277
1507025,257
1507079,474.15
1507080,461.15
1507089,437
1507132,250-253;261-264
1507160,125
1507206,370
1507208,529
1507239,194-195 ^o^C
1507240,82-83 ^o^C
1507241,262-263 ^o^C
1507242,270 ^o^C
1507243,257 ^o^C
1507299,376
1507300,413
1507301,408
1507302,388
1507305,130.8(3)
1507306,128.5(15)
1507311,371
1507331,189.0(10)
1507332,462.6(15)
1507333,499.1(10)
1507366,546.1(10)
1507442,495.0(10)
1507443,471.0(10)
1507461,186
1507473,104-107&#x00A1;C
1507486,168
1507550,224.2(8)
1507551,185(2)
1507557,97.5(5)
1507558,131.5(5)
1507661,229.0(10)
1507662,261.5(15)
1507663,374(3)
1507668,191
1507879,301-305 deg C (dec)
1507937,421
1507938,367
1508010,269
1508214,371(3)
1508215,478(2)
1508313,g.t.260 C
1508314,g.t. 260 C
1508315,g.t. 260 C
1508374,375
1508379,408
1508592,420
1508643,216.0(10)
1508659,456
1508888,164.5(5)
1508904,422.2
1509133,492
1509248,343
1511776,389(1)
1511777,360.5(5)
1511778,396(1)
1511801,86
1511802,86
1511803,86
1511804,86
1511805,86
1511806,86
1511807,86
1511808,135
1511809,135
1511810,135
1511811,135
1511812,135
1511870,436.1(10)
1511871,371.1(10)
1511872,438.1(10)
1511873,401.6(15)
1511886,212.5(5)
1511919,356
1511979,485
1511980,485
1511981,485
1511983,341
1511984,341
1511985,341
1511986,341
1511987,341
1511988,341
1511989,341
1511990,341
1511991,341
1511992,341
1511993,341
1511994,341
1511995,341
1511996,341
1511997,341
1511998,341
1511999,341
1512000,341
1512001,341
1512002,341
1512003,341
1512004,341
1512005,341
1512006,341
1512007,341
1512008,341
1512009,341
1512010,341
1512011,341
1512012,341
1512013,341
1512014,341
1512015,341
1512023,191.0(10)
1512024,136.5(15)
1512025,199.0(10)
1512091,464.5(5)
1512092,367.5(5)
1512120,1900.000
1512135,282&#x00B0;C
1512136,261&#x00B0;C
1512332,187.0(10)
1512333,114.0(10)
1512382,403.8(8)
1512383,388.0(7)
1512384,406.8(8)
1512561,126.0(10)
1513037,410
1513038,602
1513039,522
1513041,514
1513044,344
1513054,331
1513055,402
1513056,276
1513057,412
1513058,400
1513059,317
1513075,529.45
1513169,310
1513300,2683
1513335,542.15
1513336,551.75
1513359,130(2)
1513360,540.1(10)
1513361,185.0(10)
1513362,199.0(10)
1513363,439(2)
1513364,452.1(10)
1513365,524.1(10)
1513366,453.6(15)
1513819,341.6(5)
1513931,422
1514506,see supporting information
1514507,see supporting information
1514727,162
1514728,180.0(10)
1514832,210.0(10)
1514929,344
1515236,405
1515237,398
1515238,390
1515239,388
1515301,345
1515384,438
1515385,391
1515438,493
1515439,483
1515913,184
1515916,171
1515950,533.2
1516032,245
1516115,213.0(10)
1516116,205.0(10)
1516117,213.0(10)
1516118,461(2)
1516119,213.0(10)
1516246,159.5(5)
1516247,127.5(5)
1516334,124
1516335,130
1516336,130
1516337,157
1516338,156
1516386,606.4
1516387,606.4
1516388,606.4
1516389,576.5
1516390,576.5
1516523,428.0(10)
1516524,504.0(10)
1516525,528.0(10)
1516526,505.0(10)
1516574,186.5(5)
1516611,415.0(10)
1516662,465
1516772,433.4(3)
1516988,117
1517408,312.0(10)
1517427,351
1517671,382.1(10)
1517694,381
1517695,375
1517696,387
1517897,384.0(10)
1517926,375
1517927,339
1517928,360
1517929,333
1517930,378
1517943,225
1517989,132
1518008,456.15
1518009,507.15
1518087,497(2)
1518280,126.5(15)
1518432,419
1518433,419
1518434,419
1518435,419
1518436,419
1518437,419
1518438,419
1518439,419
1518440,419
1518441,419
1518442,419
1518443,419
1518444,419
1518445,419
1518446,419
1518815,424.15(1)
1518943,118
1518960,400
1519449,423.15
1519670,441
1519671,425
1519672,394
1519673,378
1519674,423
1519675,449
1519689,543.00(5)
1519690,518.1(2)
1519868,68.5(5)
1519873,139.0(10)
1519874,99.0(10)
1519875,62.5(15)
1519876,217(4)
1519877,93.5(15)
1520000,512.2
1520002,489.2
1520003,459.2
1520004,509.2
1520302,429
1520389,420.0(10)
1520573,379.5(15)
1520574,381.0(10)
1520623,362
1520625,433
1520631,416
1529194,118(2)
1529195,118(2)
1529196,122(4)
1529197,80.5(15)
1529198,94(2)
1529199,100(3)
1529322,98.5(5)
1529352,477
1529353,443
1530687,159
1531040,438.0(10)
1531316,466
1540583,377
1540719,547
1540726,436.0(10)
1540727,464.0(10)
1540728,480.0(10)
1540729,454.0(10)
1540730,542.0(10)
1540731,424.0(10)
1542316,1000
1542330,384.15
1542487,401
1542489,364
1542494,453
1542504,495
1542505,320
1542506,439
1542509,445
1542602,401
1542754,433.0(10)
1542756,320
1542812,341
1542814,355
1542815,368
1542816,363
1542817,343
1542818,355
1542819,353
1542820,363
1542821,367
1542822,347
1542823,353
1542824,352
1542840,365
1542841,411
1542842,431
1542843,384
1542844,446
1542881,490
1542902,418
1542927,515
1542931,300
1543059,245
1543060,231
1543063,427
1543088,363
1543109,492(5)
1543111,470.5(15)
1543144,413
1543146,368
1543166,518.0(10)
1543177,386
1543422,418
1543475,355
1543491,389
1543536,396
1543538,403
1543618,423
1543619,319
1543621,338
1543715,218
1543716,170
1543805,461
1543884,350
1543885,382
1543895,480
1543985,298
1543986,442
1544028,402
1544041,477
1544138,329.15
1544175,146
1544213,539
1544217,442
1544223,405
1544224,405
1544225,405
1544226,405
1544233,414.5(5)
1544234,137.0(10)
1544318,489(2)
1544400,411
1544403,413
1544554,432.0(10)
1544555,446.0(10)
1544556,458.0(10)
1544587,393
1544655,more than 500 (K)
1544656,more than 500 (K)
1544765,353
1544768,444
1544792,458
1544819,461
1544980,289.0(10)
1544981,205
1545013,450
1545025,573
1545039,425
1545040,378
1545041,356
1545237,231.5(5)
1545384,439
1545481,376
1545487,374
1545496,375
1545507,460
1545537,410
1545538,364
1545539,384
1545540,431
1545541,388
1545584,600
1545617,462.0(10)
1545618,462.0(10)
1545648,486
1545665,125.0(10)
1545666,126.5(5)
1545667,179.5(5)
1545680,522.3
1545681,522.2
1545682,523.8
1545683,522.3
1545684,547.2
1545685,527
1545750,410
1545830,453
1545831,433
1545832,353
1545833,423
1545834,403
1545835,453
1545836,398
1545837,363
1545838,366
1545918,1543.000
1545919,1433.000
1546043,338.05
1546044,339.15
1546045,339.15
1546046,338.05
1546048,339.35
1546261,161.5(15)
1546262,161.5(15)
1546263,120.5(15)
1546264,120.5(15)
1546267,77(2)
1546268,77(2)
1546269,77(2)
1546270,77(2)
1546624,485.5(5)
1546625,528.5(5)
1546626,561.5(5)
1546628,591
1546629,493
1546640,452
1546673,475
1546679,428
1546706,415
1546722,399
1546748,375
1546806,503
1546807,546(19)
1546922,533(3)
1546923,418
1547179,143.5(5)
1547205,401
1547206,449
1547210,600.84
1547591,514.65
1547808,523.7
1547809,523.1
1547810,523.7
1547811,519
1547812,519
1547813,528
1547814,528
1547815,517
1547816,560
1547851,468.0(10)
1547853,387.0(10)
1547854,489.0(10)
1547855,440.0(10)
1547856,525.0(10)
1547857,424.0(10)
1547858,448.5(5)
1548057,331.5
1548080,.
1548081,.
1548082,.
1548083,.
1548359,459.1(10)
1548360,447.5(5)
1548566,393(2)
1548567,380.7(5)
1548568,435.7(5)
1548570,382(1)
1548571,409.7(5)
1548572,471.7(15)
1548573,364(3)
1548574,479(1)
1548576,329.4(3)
1548577,429(4)
1548667,371
1548675,367
1548676,377
1548678,356
1548728,327
1548787,424
1548832,413
1548841,481
1548853,489
1548854,416
1548889,587
1549261,414
1549267,556
1549268,556
1549347,329
1549359,533
1549433,382.0(10)
1549434,352.5(5)
1549435,357.5(5)
1549437,358.0(10)
1549666,435
1549714,495
1549947,431.6
1549948,431.6
1549949,431.6
1550169,407
1550200,493
1550251,C2 cyclo-tris-[5]helicene
1550516,layering
1550533,286(4)
1550534,232(2)
1550767,570.15
1550768,584.15
1550769,565.75
1550770,503.15
1550823,353(5)
1550846,410
1551078,548.15
1551080,503.15
1551081,493.15
1551207,493
1551208,390
1551529,560
1551703,431.5(15)
1551708,453
1551715,190
1551744,393.5(10)
1551748,400
1551788,489.01-501.05\K
1551792,391
1551793,459.1(10)
1551854,383
1551855,388
1551856,396
1551857,385
1551858,383
1551859,432
1551860,371
1551861,417
1551862,407
1551863,398
1551864,400
1551872,427.15
1551958,547
1552104,696
1552132,498
1552177,373.8
1552180,443
1552300,367
1552479,475(2)
1552610,376.2
1552638,444(4)
1552639,454(4)
1552641,429.0(10)
1552732,245
1552733,187
1552734,150
1552735,154
1552736,153
1552747,368
1553096,decomp. > 413
1553097,616
1553204,350.5(5)
1553209,427.5(5)
1553222,no information
1553223,421
1553246,344.5(5)
1553247,353
1553248,503.5(5)
1553351,432.8(4)
1553352,433.6(2)
1553353,377.4(2)
1553479,479.5(15)
1553482,482.0(10)
1553554,"357,4"
1553555,"361,6"
1553636,501.5(5)
1553691,533
1553716,387.5(5)
1553761,361.0(10)
1553901,419.1(10)
1554058,432.3(2)
1554059,429.5(2)
1554140,260
1554197,340?ae
1554217,400
1554220,386
1554223,429
1554226,523.5(5)
1554227,508.0(10)
1554368,380.15
1554408,450
1554454,423
1554455,402
1554456,409
1554457,407
1554458,414
1554473,458
1554475,479
1554476,448
1554477,560
1554479,441
1554480,354
1554542,419
1554543,340
1554544,343
1554545,376
1554868,412
1554897,376.8(8)
1555020,276.0(10)
1555092,409.0(10)
1555093,463.0(10)
1555112,463.5(5)
1555151,387
1555193,537
1555548,395
1555571,512
1555572,513
1555594,390.0(10)
1555750,298
1555769,363
1555857,please see SI
1555858,see SI
1556043,63-64 &#x00A1;&#x00E6;
1556110,389.1(10)
1556114,360.1(5)
1556247,416(2)
1556248,397(2)
1556629,379.5(8)
1556637,297
1556897,429
1556929,390
1557177,331
1557291,385
1557292,377
1557293,419
1557294,344
1557295,393
1557297,401
1557320,445
1557321,474
1557413,412
1557519,543
1557612,443
1557980,411
1558329,472
1558389,390
1558397,272.0(10)
1558638,408.0(10)
1558639,379.0(10)
1558640,416.5(5)
1558995,413
1558996,413
1559020,453
1559048,396.6(15)
1559081,527
1559082,465
1559083,467
1559084,555
1559130,206
1559228,313
1559315,492
1559316,408
1559318,396
1559319,386
1559320,463
1559321,451
1559322,415
1559323,393
1559324,458
1559325,444
1559326,478
1559327,442
1559328,423
1559407,536
1559484,260
1559620,271.8(6)
1559621,270.6(7)
1559622,270.6(7)
1559623,270.6(7)
1559624,270.6(7)
1559625,544.0(6)
1559626,270.6(7)
1559627,270.6(7)
1559629,270.6(7)
1559630,544.0(6)
1559631,270.6(7)
1559633,270.6(7)
1559634,544.0(6)
1559849,333
1559865,399
1559923,554.5(5)
1559924,536.5(5)
1560707,476.15
1560989,1818
1560990,1818
1561216,490
1561945,528
1562114,502.45
1562583,1173
1562731,.
1562732,.
1562733,.
1562735,.
1563562,1014
1563819,393.1
1563820,613
1563822,383
1563824,521
1563825,438
1563826,467
1563827,431
1563829,437
1563830,485
1563831,418
1563832,537
1563941,decomposition above 393 K
1564079,433
1564080,383
1564081,501
1564223,452.8(6)
1564224,452.8(6)
1564225,452.8(6)
1564226,452.8(6)
1564228,452.8(6)
1564229,452.8(6)
1564230,452.8(6)
1564231,452.8(6)
1564232,452.8(6)
1564243,536
1564317,438.15
1565037,296
1565093,526
1565094,526
1565095,526
1565096,526
1565185,272.0(10)
1565186,430
1565231,445
1565232,512
1565602,567.5(15)
1565603,415.0(10)
1565903,568.15
1565904,383.15
1565905,519.15
1566164,386.0(10)
1566165,400.0(10)
1566166,393
1566167,383
1566484,366
1566485,366
1566486,366
1566487,366
1566488,366
1566489,366
1566490,366
1566491,366
1566492,366
1566493,366
1566494,366
1566495,366
1566496,366
1566497,366
1566498,366
1566499,366
1566500,366
1566571,435
1566738,308
1566801,418
1566802,398
1566803,408
1566804,109
1566805,414
1567089,342.75
1567170,128
1567171,140
1567172,128
1567181,409
1567217,366
1567236,111.0(10)
1567671,421
1567750,347
1567752,347
1567841,410
1567842,441
1567843,436
1567844,448
1567846,490
1567847,507.0(10)
1567848,457
1567849,422
1567851,409.0(10)
1567852,458
1567853,422.0(10)
1567854,467.0(10)
1567855,541
1567856,510.0(10)
1567858,465
1567859,484
1567860,444
1568133,499
1568134,444
1568135,600
1568221,190
1568415,416.0(10)
1568416,417.0(10)
1568825,437
1569407,511.15
1569410,dehydration starting at 130 C
1569411,decomposition at about 410 C
1569459,158
1569480,122-123?
1569763,384
1569777,399
1569818,429
1570062,304
1570065,250
1570066,298
1570067,309
1570068,290
1571100,353
1571101,339
1571102,354
1571103,338
1571104,379
1571105,326
1571106,352
1571168,385
1571189,240
1571267,345
1571446,293
1571493,541
1571511,492.0(10)
1571514,392.0(10)
1571706,435
1571764,430
1572008,477
1572160,483.15
1573010,"DCM, PE"
1573209,315
1573320,476(2)
1573442,364
1573594,501.5(15)
1573728,226
1573762,394(2)
1573764,407.5(15)
1574037,401
1574038,435
1574288,461
2000001,443.15
2000004,405
2000007,419
2000008,387.15
2000010,355.5
2000011,396
2000052,459
2000054,487
2000072,379
2000073,523.15
2000074,543.15
2000093,389.15
2000104,400.15
2000125,573.15
2000533,"['478', '481']"
2000534,"['524', '529']"
2000642,440.2(3)
2000646,"['107', '108']"
2000647,"['135', '137']"
2000650,120
2000721,417.0(5)
2000723,401.0(10)
2001125,418.5(5)
2001179,391
2001180,366
2001187,.00000137
2001233,75.0(5)
2001235,.107E-105
2001236,.228E-227
2001237,375.1(10)
2001239,  423 (lit. 417-8) 
2001258,445.0(10)
2001259,482.0(10)
2001307,.163E-161
2001308,.171E-169
2001325,58
2001326,116
2001332,.396E-305
2001333,.514E-305
2001334,.445E-305
2001341,.139E-137
2001342,.99E-99
2001343,.173E-172
2001373,405.6(5)
2001411,429.5(5)
2001432,456.5(5)
2001545,373.0(5)
2001560,379.0(10)
2001641,409
2001714,454.5(5)
2001722,.395E-305
2001723,.448E-305
2001740,340.5(5)
2001811,162
2001829,189.5(5)
2001830,132(2)
2001923,396
2002110,365
2002111,384
2002919,377.1(10)
2002920,.175E-174
2002921,.178E-177
2002922,.8E-80
2002923,91
2002946,331
2002947,.411E-305
2002986,420(2)
2003024,214
2003033,339
2003133,378.0(10)
2003135,374.0(10)
2003136,368.5(15)
2003137,385
2003201,478
2003202,478
2003207,326.0(10)
2003241,.415E-305
2003253,387.1(10)
2003256,415(2)
2003257,412.6(5)
2003259,332.5(5)
2003275,454.5(15)
2003293,.358E-305
2003313,148.0
2003319,446.6(5)
2003321,408.15
2003325,non measured
2003338,457.15
2003341,258(3)
2003342,329.2(3)
2003343,493.5(5)
2003350,235
2003361,163
2003364,379.0(10)
2003379,439.15
2003383,474
2003490,.491E-305
2003491,412
2003509,416.15
2003521,.464E-305
2003522,.446E-305
2003586,403
2003587,451.15
2003588,506.15
2003592,449.5(5)
2003602,374.5(5)
2003613,210.0
2003649,396.15
2003660,187
2003661,208
2003663,447.5(5)
2003664,449.5(15)
2003669,445.5(5)
2003671,403.5(5)
2003675,364
2003719,423
2003722,433
2003744,487.5(5)
2003752,.98E-99
2003778,336.5(5)
2003779,375.5(5)
2003780,386.5(5)
2003782,381.0(5)
2003798,351.5(5)
2003815,345.0(5)
2003816,337.5(5)
2003817,312.0(10)
2003840,421.1(10)
2003850,188.2(7)
2003862,467.15
2003873,403.1(10)
2003883,423.15
2003904,512
2003905,531
2003925,371
2003936,400
2003941,448.15
2003953,373
2003965,491.6(5)
2003967,464
2003969,.226E-224
2003970,decomposed > 300
2003982,394.8
2003983,457.5
2003989,489.1(10)
2004007,1793
2004023,466.0(10)
2004031,409.5(5)
2004049,440
2004056,397
2004057,362
2004061,490.1(10)
2004071,.334E-305
2004072,469.15
2004080,403.5(5)
2004083,327.6(5)
2004093,438.15
2004098,376
2004107,394.1(10)
2004116,.226E-224
2004117,295.0(10)
2004128,448.0(10)
2004129,442.0(10)
2004147,.184E-183
2004183,59-61^o^C
2004185,253
2004218,decomposes before melting
2004219,435.65
2004228,366
2004266,.493E-305
2004270,559.0(10)
2004271,.13E-128
2004281,400
2004282,425
2004288,354.6(5)
2004293,399
2004298,325-325K
2004299,328.0(10)
2004300,343
2004304,174
2004319,510
2004353,302.85
2004360,181.5(5)
2004365,415
2004386,387.0(10)
2004393,.473E-305
2004398,437
2004399," At 424 K starts polyester-type condensation, and the solid changes to brown. Crystalline melting point of the oligomerized material is at 528 K."
2004400,428
2004406, 235\% C with decomposition
2004415,425
2004424,367
2004435,.37E-37
2004460,.314E-305
2004478,201.5(5)
2004487,.495E-305
2004489,.65E-64
2004499,477.5
2004504,>300 C (dried sample)
2004518,393.6(5)
2004526,162
2004527,.166E-166
2004528,187
2004535,409.5
2004545,476.1(10)
2004551,.277E-276
2004557,397.8(3)
2004558,401.5(5)
2004565,242.3
2004566,242.0
2004574,421.15
2004575,399.15
2004584,426
2004588,164.9(2)
2004640,370
2004648,423
2004670,365.5(15)
2004676,456.6(5)
2004706,408.0(10)
2004720,410.15
2004726,474.1(10)
2004727,513.15
2004751,383
2004752,465
2004768,508.6(5)
2004769,446.6(5)
2004770,331.5(5)
2004807,120-140  softening
2004837,.116E-114
2004891,.457E-305
2004894,49.5
2004922,513
2004928,decomposes before melting
2004935,484.6(5)
2004938,421.5(5)
2004947,471(2)
2004948,.146E-145
2004953,523
2004967,423.15
2004991,407
2004992,375
2005007,.102E-101
2005008,.61E-60
2005011,240.5(5)
2005021,372.6(15)
2005022,412.1(10)
2005023,348.6(5)
2005077,515.0(10)
2005084,373.55(10)
2005119,437.15
2005134,343.0
2005135,343.5
2005144,361
2005167,378.15
2005168,356.15
2005169,351.15
2005176,473.15
2005179,448
2005181,.326E-305
2005188,481
2005193,187
2005208,.366E-305
2005230,331.15
2005235,379
2005263,.191E-193
2005264,407
2005265,.367E-305
2005266,.326E-305
2005267,146-148^o^C
2005323,357.6(5)
2005344,400.1(10)
2005346,422.1(10)
2005352,467.1(10)
2005354,445
2005355,486
2005375,124
2005376,.131
2005378,242
2005380,448.6(5)
2005385,437.6(5)
2005408,353.15
2005411,over 580 K with decomposition
2005414,92
2005415,141
2005416,177
2005417,.23E-228
2005418,.208E-206
2005419,.208E-206
2005423,.116E-114
2005442,406
2005446,427.0(10)
2005447,425.0(10)
2005448,376
2005449,371.0(10)
2005451,.388E-305
2005452,398.0(7)
2005453,.421E-305
2005454,380.5(8)
2005479,365.0(10)
2005482,83.8-84.2iC
2005504,393
2005511,494.1(10)
2005532,.173E-171
2005536,385
2005554,360.0(10)
2005560,348.5(5)
2005572,383
2005578,389.15
2005599,154.6
2005613,494(2)
2005631,266
2005633,422
2005635,380.6(5)
2005636,369
2005637,.379E-305
2005638,.358E-305
2005639,.158E-157
2005640,357
2005641,356
2005644,513.15
2005647,.11E-108
2005656,411.6(5)
2005672,396
2005675,483
2005677,127
2005680,10.5
2005681,8.5
2005685,421.5(5)
2005694,.147E-144
2005697,389
2005713,.208E-208
2005729,271.8
2005730,521.15
2005734,376
2005738,405
2005740,160
2005741,466.5
2005749,419.5(5)
2005755,353
2005774,484.0(10)
2005781,392.1(10)
2005782,.437E-305
2005783,425.6(5)
2005785,.373E-305
2005789,427.6(5)
2005790,417.15
2005806,over 573K with decomposition
2005814,217.5(10)
2005819,371.15
2005824,370
2005825,352.5(5)
2005826,452.5(5)
2005832,90.5(5)
2005833,109.5(5)
2005835,341.8(18)
2005838,240
2005851,545.15
2005860,399
2005862,368(2)
2005865,149.5(5)
2005910,452
2005914,431(2)
